fid,fid_raw,tail,dep,arr,deptime,arrtime,prev_fid,next_fid,turn,delay_penalty,cancel_penalty,alternates
13,UA_2187_2025-12-04_DEN_SJC_0_0,201,DEN,SJC,1764902700,1764912420,12.0,,3060,120,2592000,"[833, 866, 505, 651, 696, 639, 519, 77, 821, 102, 164, 25, 356, 415, 254]"
14,UA_2853_2025-12-02_SAT_DEN_0_0,202,SAT,DEN,1764686340,1764694860,,15.0,3060,126,2721600,[244]
15,UA_295_2025-12-02_DEN_GEG_0_0,202,DEN,GEG,1764699300,1764708300,14.0,16.0,3060,157,3391200,"[886, 837, 781, 823, 848, 613, 734, 550, 496, 628, 599, 535, 521, 507, 69, 90, 153, 79, 2, 124, 427, 345, 293, 317, 57]"
16,UA_1255_2025-12-02_GEG_DEN_0_0,202,GEG,DEN,1764712020,1764720300,15.0,17.0,3060,146,3153600,
17,UA_1969_2025-12-02_DEN_CMH_0_0,202,DEN,CMH,1764724080,1764734340,16.0,18.0,3060,112,2419200,"[888, 783, 825, 860, 736, 498, 687, 630, 523, 509, 680, 71, 93, 155, 81, 4, 295, 407, 381, 59]"
18,UA_728_2025-12-03_CMH_DEN_0_0,202,CMH,DEN,1764768600,1764780900,17.0,19.0,3060,113,2440800,
19,UA_295_2025-12-03_DEN_GEG_0_0,202,DEN,GEG,1764785700,1764794700,18.0,20.0,3060,140,3024000,"[890, 840, 785, 827, 862, 851, 775, 500, 690, 633, 525, 512, 683, 95, 157, 84, 7, 297, 350, 409, 383, 61]"
20,UA_1255_2025-12-03_GEG_DEN_0_0,202,GEG,DEN,1764798420,1764806700,19.0,21.0,3060,99,2138400,
21,UA_1969_2025-12-03_DEN_CMH_0_0,202,DEN,CMH,1764810480,1764820740,20.0,22.0,3060,75,1620000,"[892, 787, 829, 864, 853, 692, 635, 527, 514, 73, 766, 817, 398, 159, 9, 299, 352, 411, 275]"
22,UA_728_2025-12-04_CMH_DEN_0_0,202,CMH,DEN,1764855000,1764867300,21.0,23.0,3060,128,2764800,[134]
23,UA_1235_2025-12-04_DEN_MSN_0_0,202,DEN,MSN,1764871140,1764878760,22.0,24.0,3060,128,2764800,"[789, 831, 855, 503, 694, 637, 529, 517, 75, 768, 819, 162, 11, 120, 301, 354, 413, 277, 66]"
24,UA_1784_2025-12-04_MSN_DEN_0_0,202,MSN,DEN,1764882540,1764891900,23.0,25.0,3060,155,3348000,
25,UA_2350_2025-12-04_DEN_SYR_0_0,202,DEN,SYR,1764896100,1764908100,24.0,,3060,104,2246400,"[833, 866, 505, 651, 696, 639, 519, 77, 770, 821, 102, 164, 13, 122, 303, 356, 415, 254]"
26,UA_684_2025-12-02_SRQ_ORD_0_0,203,SRQ,ORD,1764685800,1764696780,,27.0,3060,156,3369600,
27,UA_561_2025-12-02_ORD_MCI_0_0,203,ORD,MCI,1764701100,1764706860,26.0,28.0,3060,165,3564000,"[771, 641, 720, 812, 330, 306]"
28,UA_303_2025-12-02_MCI_ORD_0_0,203,MCI,ORD,1764710700,1764716580,27.0,29.0,3060,163,3520800,
29,UA_1182_2025-12-02_ORD_LGA_0_0,203,ORD,LGA,1764727200,1764735360,28.0,30.0,3060,147,3175200,"[773, 552, 643, 722, 368, 762, 107, 126, 485, 281]"
30,MX_203_2025-12-02_LGA_LGA_false,203,LGA,LGA,1764735360,1764756960,29.0,31.0,5100,0,7500000,
31,UA_2371_2025-12-03_LGA_IAH_0_0,203,LGA,IAH,1764765900,1764781020,30.0,32.0,3060,118,2548800,"[592, 644, 567, 370, 199]"
32,MX_203_2025-12-03_IAH_IAH_true,203,IAH,IAH,1764781020,1764791820,31.0,33.0,5100,0,7500000,
33,UA_2259_2025-12-03_IAH_OKC_0_0,203,IAH,OKC,1764794100,1764799680,32.0,34.0,3060,64,1382400,"[580, 711, 568, 458, 674, 338, 336, 236, 422, 322, 249, 187, 168]"
34,UA_1117_2025-12-03_OKC_IAH_0_0,203,OKC,IAH,1764804180,1764809760,33.0,35.0,3060,82,1771200,
35,UA_2090_2025-12-03_IAH_OMA_0_0,203,IAH,OMA,1764814260,1764822480,34.0,36.0,3060,76,1641600,"[842, 661, 621, 713, 557, 606, 674, 373, 51, 118, 177, 146, 189]"
36,UA_1429_2025-12-04_OMA_IAH_0_0,203,OMA,IAH,1764849600,1764858540,35.0,37.0,3060,124,2678400,[443]
37,UA_1486_2025-12-04_IAH_BOS_0_0,203,IAH,BOS,1764864840,1764878340,36.0,38.0,3060,121,2613600,"[894, 844, 582, 664, 623, 715, 559, 609, 461, 676, 375, 53, 341, 87, 239, 179, 252, 191]"
38,UA_434_2025-12-04_BOS_IAH_0_0,203,BOS,IAH,1764884400,1764901080,37.0,39.0,3060,89,1922400,[743]
39,UA_1179_2025-12-04_IAH_AUS_0_0,203,IAH,AUS,1764907200,1764910740,38.0,40.0,3060,41,885600,"[717, 611, 757, 463, 55, 343, 266]"
40,MX_203_2025-12-04_AUS_AUS_false,203,AUS,AUS,1764910740,1764921540,39.0,,5100,0,7500000,
41,MX_204_2025-12-04_IAD_IAD_false,204,IAD,IAD,1764892800,1764914400,,,5100,0,7500000,
42,UA_1358_2025-12-02_SFO_LAS_0_0,205,SFO,LAS,1764688560,1764694620,,43.0,3060,159,3434400,"[872, 653, 707, 748, 268]"
43,UA_2421_2025-12-02_LAS_SFO_0_0,205,LAS,SFO,1764698700,1764704940,42.0,44.0,3060,135,2916000,"[434, 464]"
44,UA_2391_2025-12-02_SFO_SAN_0_0,205,SFO,SAN,1764710640,1764716520,43.0,45.0,3060,165,3564000,"[655, 537, 793, 220, 405]"
45,UA_2117_2025-12-02_SAN_SFO_0_0,205,SAN,SFO,1764720480,1764726600,44.0,46.0,3060,152,3283200,
46,UA_2633_2025-12-02_SFO_SAN_0_0,205,SFO,SAN,1764731400,1764737280,45.0,47.0,3060,168,3628800,"[657, 655, 615, 537, 222, 471, 319, 270]"
47,MX_205_2025-12-02_SAN_SAN_false,205,SAN,SAN,1764737280,1764758880,46.0,48.0,5100,0,7500000,
48,UA_2863_2025-12-03_SAN_SFO_0_0,205,SAN,SFO,1764776700,1764783120,47.0,49.0,3060,113,2440800,[310]
49,UA_2177_2025-12-03_SFO_SAN_0_0,205,SFO,SAN,1764789000,1764795000,48.0,50.0,3060,166,3585600,"[877, 875, 659, 618, 540, 796, 224, 474, 311, 273]"
50,UA_465_2025-12-03_SAN_IAH_0_0,205,SAN,IAH,1764798780,1764810300,49.0,51.0,3060,66,1425600,"[541, 225]"
51,UA_2111_2025-12-03_IAH_MSP_0_0,205,IAH,MSP,1764813900,1764823860,50.0,52.0,3060,94,2030400,"[842, 661, 621, 713, 557, 606, 674, 373, 35, 118, 177, 146, 189]"
52,UA_1859_2025-12-04_MSP_IAH_0_0,205,MSP,IAH,1764855600,1764866580,51.0,53.0,3060,145,3132000,[412]
53,UA_1600_2025-12-04_IAH_TQO_0_0,205,IAH,TQO,1764871920,1764880500,52.0,54.0,3900,163,3520800,"[894, 844, 715, 559, 649, 609, 461, 676, 375, 37, 341, 87, 424, 179, 149, 252, 191]"
54,UA_1601_2025-12-04_TQO_IAH_0_0,205,TQO,IAH,1764884700,1764894000,53.0,55.0,3480,28,604800,
55,UA_465_2025-12-04_IAH_IND_0_0,205,IAH,IND,1764899400,1764907740,54.0,,4080,78,1684800,"[846, 666, 717, 561, 611, 757, 463, 39, 343, 266, 181, 193]"
56,UA_1029_2025-12-02_MIA_DEN_0_0,206,MIA,DEN,1764679500,1764696120,,57.0,3060,141,3045600,[195]
57,UA_741_2025-12-02_DEN_BZN_0_0,206,DEN,BZN,1764701160,1764707700,56.0,58.0,3060,166,3585600,"[886, 837, 781, 823, 848, 613, 734, 550, 496, 628, 599, 535, 521, 507, 69, 90, 153, 79, 2, 124, 15, 427, 345, 293, 317]"
58,UA_1109_2025-12-02_BZN_DEN_0_0,206,BZN,DEN,1764711720,1764718140,57.0,59.0,3060,148,3196800,
59,UA_231_2025-12-02_DEN_SDF_0_0,206,DEN,SDF,1764721800,1764731340,58.0,60.0,3060,79,1706400,"[888, 783, 825, 860, 736, 498, 687, 630, 523, 509, 680, 71, 93, 155, 81, 4, 17, 295, 407, 381]"
60,UA_513_2025-12-03_SDF_DEN_0_0,206,SDF,DEN,1764770400,1764781500,59.0,61.0,3060,147,3175200,
61,UA_1415_2025-12-03_DEN_SMF_0_0,206,DEN,SMF,1764787500,1764797100,60.0,62.0,3060,147,3175200,"[890, 785, 827, 862, 851, 775, 500, 690, 633, 525, 512, 683, 95, 157, 84, 7, 19, 297, 350, 409, 383]"
62,UA_566_2025-12-03_SMF_DEN_0_0,206,SMF,DEN,1764806520,1764815100,61.0,63.0,3060,80,1728000,
63,MX_206_2025-12-03_DEN_DEN_false,206,DEN,DEN,1764815100,1764858300,62.0,64.0,5100,0,7500000,
64,UA_1481_2025-12-04_DEN_PHX_0_0,206,DEN,PHX,1764859500,1764867180,63.0,65.0,3060,99,2138400,"[789, 831, 855, 503, 571, 694, 768, 301]"
65,UA_780_2025-12-04_PHX_DEN_0_0,206,PHX,DEN,1764870900,1764877500,64.0,66.0,3060,112,2419200,[161]
66,UA_1476_2025-12-04_DEN_TUS_0_0,206,DEN,TUS,1764881160,1764888660,65.0,67.0,3060,101,2181600,"[637, 529, 517, 75, 770, 819, 162, 11, 122, 120, 23, 303, 354, 413, 277]"
67,UA_1401_2025-12-04_TUS_DEN_0_0,206,TUS,DEN,1764894600,1764901500,66.0,,3060,49,1058400,[414]
68,UA_1460_2025-12-02_GEG_DEN_0_0,207,GEG,DEN,1764681900,1764690900,,69.0,3060,146,3153600,
69,UA_1451_2025-12-02_DEN_JAX_0_0,207,DEN,JAX,1764695100,1764707040,68.0,70.0,3060,148,3196800,"[886, 837, 781, 823, 613, 734, 550, 496, 628, 535, 521, 507, 90, 153, 79, 2, 124, 15, 427, 293, 317, 57]"
70,UA_1593_2025-12-02_JAX_DEN_0_0,207,JAX,DEN,1764711000,1764725100,69.0,71.0,3060,145,3132000,
71,UA_2187_2025-12-02_DEN_SJC_0_0,207,DEN,SJC,1764729900,1764739620,70.0,72.0,3060,157,3391200,"[888, 783, 825, 860, 736, 498, 630, 523, 509, 680, 93, 155, 81, 4, 17, 295, 407, 381, 59]"
72,UA_726_2025-12-03_SJC_DEN_0_0,207,SJC,DEN,1764794400,1764803700,71.0,73.0,3060,153,3304800,
73,UA_1110_2025-12-03_DEN_SAT_0_0,207,DEN,SAT,1764808800,1764816780,72.0,74.0,3060,84,1814400,"[892, 787, 829, 864, 853, 692, 635, 527, 514, 766, 817, 398, 9, 21, 299, 352, 411, 275]"
74,UA_2853_2025-12-04_SAT_DEN_0_0,207,SAT,DEN,1764859140,1764867660,73.0,75.0,3060,150,3240000,
75,UA_639_2025-12-04_DEN_MSO_0_0,207,DEN,MSO,1764872400,1764880380,74.0,76.0,3060,132,2851200,"[789, 831, 855, 503, 694, 637, 529, 517, 768, 819, 162, 11, 120, 23, 301, 354, 413, 277, 66]"
76,UA_1436_2025-12-04_MSO_DEN_0_0,207,MSO,DEN,1764884100,1764891900,75.0,77.0,3060,142,3067200,
77,UA_423_2025-12-04_DEN_GRR_0_0,207,DEN,GRR,1764896280,1764905340,76.0,,3060,73,1576800,"[833, 866, 505, 651, 696, 639, 519, 770, 821, 102, 164, 13, 122, 25, 303, 356, 415, 254]"
78,UA_1396_2025-12-02_STL_DEN_0_0,208,STL,DEN,1764687600,1764696540,,79.0,3060,162,3499200,
79,UA_1125_2025-12-02_DEN_BOI_0_0,208,DEN,BOI,1764700500,1764707940,78.0,80.0,3060,167,3607200,"[886, 837, 781, 823, 848, 613, 734, 550, 496, 628, 599, 535, 521, 507, 69, 90, 153, 2, 124, 15, 427, 345, 293, 317, 57]"
80,UA_2173_2025-12-02_BOI_DEN_0_0,208,BOI,DEN,1764712140,1764719100,79.0,81.0,3060,161,3477600,
81,UA_360_2025-12-02_DEN_PHL_0_0,208,DEN,PHL,1764723000,1764735720,80.0,82.0,3060,112,2419200,"[888, 783, 825, 860, 736, 498, 687, 630, 523, 509, 680, 71, 93, 155, 4, 17, 295, 407, 381, 59]"
82,MX_208_2025-12-02_PHL_PHL_false,208,PHL,PHL,1764735720,1764760920,81.0,83.0,5100,0,7500000,
83,UA_2383_2025-12-03_PHL_DEN_0_0,208,PHL,DEN,1764766800,1764782520,82.0,84.0,3060,158,3412800,[283]
84,UA_323_2025-12-03_DEN_TPA_0_0,208,DEN,TPA,1764795900,1764808500,83.0,85.0,3060,153,3304800,"[892, 775, 500, 690, 633, 525, 514, 512, 683, 157, 7, 19, 350, 409, 383, 61]"
85,MX_208_2025-12-03_TPA_TPA_false,208,TPA,TPA,1764808500,1764844500,84.0,86.0,5100,0,7500000,
86,UA_2393_2025-12-04_TPA_IAH_0_0,208,TPA,IAH,1764849600,1764858780,85.0,87.0,3060,123,2656800,
87,UA_2490_2025-12-04_IAH_SEA_0_0,208,IAH,SEA,1764862920,1764880920,86.0,88.0,3060,101,2181600,"[894, 844, 582, 664, 623, 715, 559, 609, 461, 676, 375, 37, 53, 341, 239, 179, 252, 191]"
88,UA_2340_2025-12-04_SEA_IAH_0_0,208,SEA,IAH,1764884760,1764900600,87.0,,3060,95,2052000,
89,UA_2248_2025-12-02_COS_DEN_0_0,209,COS,DEN,1764680400,1764683880,,90.0,3060,126,2721600,
90,UA_375_2025-12-02_DEN_DCA_0_0,209,DEN,DCA,1764693300,1764705240,89.0,91.0,3060,160,3456000,"[886, 837, 781, 823, 613, 734, 550, 496, 628, 535, 521, 507, 69, 153, 79, 2, 124, 15, 427, 293, 317, 57]"
91,UA_746_2025-12-02_DCA_DEN_0_0,209,DCA,DEN,1764709500,1764724320,90.0,92.0,3060,143,3088800,[106]
92,MX_209_2025-12-02_DEN_DEN_true,209,DEN,DEN,1764720000,1764730800,91.0,93.0,5100,0,7500000,
93,UA_1762_2025-12-02_DEN_TUS_0_0,209,DEN,TUS,1764729300,1764736860,92.0,94.0,3060,115,2484000,"[888, 783, 825, 860, 736, 498, 630, 523, 509, 680, 71, 155, 81, 4, 17, 295, 407, 381, 59]"
94,UA_2368_2025-12-03_TUS_DEN_0_0,209,TUS,DEN,1764770400,1764777300,93.0,95.0,3060,102,2203200,
95,UA_1575_2025-12-03_DEN_PHL_0_0,209,DEN,PHL,1764781800,1764794520,94.0,96.0,3060,146,3153600,"[890, 840, 785, 827, 862, 851, 633, 525, 512, 683, 157, 7, 19, 297, 350, 409, 383, 61]"
96,UA_308_2025-12-03_PHL_ORD_0_0,209,PHL,ORD,1764799620,1764808500,95.0,97.0,3060,141,3045600,
97,UA_1182_2025-12-03_ORD_LGA_0_0,209,ORD,LGA,1764813600,1764821760,96.0,98.0,3060,95,2052000,"[740, 595, 647, 726, 110, 202, 442, 429, 286]"
98,MX_209_2025-12-03_LGA_LGA_false,209,LGA,LGA,1764821760,1764843360,97.0,99.0,5100,0,7500000,
99,UA_2693_2025-12-04_LGA_ORD_0_0,209,LGA,ORD,1764850500,1764860220,98.0,100.0,3060,68,1468800,"[648, 608, 675]"
100,UA_2195_2025-12-04_ORD_BDL_0_0,209,ORD,BDL,1764867960,1764875760,99.0,101.0,3060,116,2505600,"[742, 728, 704, 400, 112, 135, 204, 444, 431, 491, 325, 288]"
101,UA_2239_2025-12-04_BDL_DEN_0_0,209,BDL,DEN,1764879900,1764896700,100.0,102.0,3060,155,3348000,[856]
102,UA_2644_2025-12-04_DEN_PSP_0_0,209,DEN,PSP,1764900540,1764909060,101.0,,3060,151,3261600,"[833, 866, 505, 651, 696, 639, 519, 77, 821, 164, 13, 122, 25, 356, 415, 254]"
103,UA_1823_2025-12-02_PNS_IAH_0_0,210,PNS,IAH,1764680400,1764686940,,104.0,3060,158,3412800,
104,MX_210_2025-12-02_IAH_IAH_true,210,IAH,IAH,1764686940,1764694140,103.0,105.0,5100,0,7500000,
105,UA_654_2025-12-02_IAH_DCA_0_0,210,IAH,DCA,1764698400,1764709080,104.0,106.0,3060,158,3412800,"[574, 563, 678, 453, 668, 392, 417, 435, 140, 379, 245, 183]"
106,UA_1555_2025-12-02_DCA_ORD_0_0,210,DCA,ORD,1764712800,1764721380,105.0,107.0,3060,117,2527200,"[91, 246]"
107,UA_1828_2025-12-02_ORD_SMF_0_0,210,ORD,SMF,1764728400,1764745380,106.0,108.0,3060,161,3477600,"[773, 552, 722, 368, 762, 29, 126, 485, 281]"
108,MX_210_2025-12-02_SMF_SMF_false,210,SMF,SMF,1764745380,1764774180,107.0,109.0,5100,0,7500000,
109,UA_1278_2025-12-03_SMF_ORD_0_0,210,SMF,ORD,1764786000,1764800940,108.0,110.0,3060,159,3434400,[841]
110,UA_1084_2025-12-03_ORD_SAV_0_0,210,ORD,SAV,1764805800,1764813780,109.0,111.0,3060,87,1879200,"[740, 595, 647, 726, 702, 97, 130, 202, 442, 429, 489, 286, 211]"
111,UA_2290_2025-12-04_SAV_ORD_0_0,210,SAV,ORD,1764861300,1764870300,110.0,112.0,3060,114,2462400,
112,UA_622_2025-12-04_ORD_AUS_0_0,210,ORD,AUS,1764873900,1764884700,111.0,113.0,3060,123,2656800,"[704, 100, 135, 204, 444, 491, 290]"
113,UA_2447_2025-12-04_AUS_DEN_0_0,210,AUS,DEN,1764888420,1764897060,112.0,114.0,3060,122,2635200,
114,MX_210_2025-12-04_DEN_DEN_false,210,DEN,DEN,1764897060,1764918660,113.0,,5100,0,7500000,
115,MX_211_2025-12-02_IAH_IAH_false,211,IAH,IAH,1764720000,1764828000,,116.0,5100,0,7500000,
116,UA_1408_2025-12-03_IAH_BZE_0_0,211,IAH,BZE,1764776160,1764785640,115.0,117.0,3900,127,2743200,"[711, 555, 604, 456, 672, 396, 336, 236, 420, 175, 322, 144, 247, 187]"
117,UA_1405_2025-12-03_BZE_IAH_0_0,211,BZE,IAH,1764789480,1764799320,116.0,118.0,3480,152,3283200,[188]
118,UA_1929_2025-12-03_IAH_MIA_0_0,211,IAH,MIA,1764807000,1764816180,117.0,119.0,4080,119,2570400,"[842, 580, 661, 713, 557, 606, 458, 674, 373, 35, 51, 338, 177, 146, 189]"
119,UA_1029_2025-12-04_MIA_DEN_0_0,211,MIA,DEN,1764852300,1764868920,118.0,120.0,3060,94,2030400,[893]
120,UA_1217_2025-12-04_DEN_DRO_0_0,211,DEN,DRO,1764872880,1764877020,119.0,121.0,3060,141,3045600,"[789, 831, 855, 503, 694, 637, 529, 517, 75, 768, 819, 162, 11, 23, 301, 354, 413, 277, 66]"
121,UA_588_2025-12-04_DRO_DEN_0_0,211,DRO,DEN,1764880740,1764885300,120.0,122.0,3060,125,2700000,
122,UA_507_2025-12-04_DEN_RSW_0_0,211,DEN,RSW,1764889800,1764903120,121.0,,3060,136,2937600,"[833, 866, 696, 639, 77, 770, 821, 102, 162, 11, 25, 303, 356, 415, 254, 66]"
123,UA_2381_2025-12-02_FCA_DEN_0_0,212,FCA,DEN,1764681300,1764690060,,124.0,3060,159,3434400,
124,UA_338_2025-12-02_DEN_BDL_0_0,212,DEN,BDL,1764693600,1764706980,123.0,125.0,3060,139,3002400,"[886, 837, 781, 823, 613, 734, 550, 496, 628, 535, 521, 507, 69, 90, 153, 79, 2, 15, 427, 293, 317, 57]"
125,UA_1846_2025-12-02_BDL_ORD_0_0,212,BDL,ORD,1764711720,1764721620,124.0,126.0,3060,148,3196800,
126,UA_630_2025-12-02_ORD_MSN_0_0,212,ORD,MSN,1764726420,1764730020,125.0,127.0,3060,167,3607200,"[773, 552, 643, 722, 368, 762, 29, 107, 485, 281]"
127,UA_2137_2025-12-03_MSN_ORD_0_0,212,MSN,ORD,1764765000,1764769260,126.0,128.0,3060,135,2916000,
128,UA_453_2025-12-03_ORD_MSP_0_0,212,ORD,MSP,1764773400,1764779100,127.0,129.0,3060,127,2743200,"[578, 738, 591, 645, 700, 371, 815, 200, 487, 360]"
129,UA_576_2025-12-03_MSP_ORD_0_0,212,MSP,ORD,1764782820,1764788880,128.0,130.0,3060,133,2872800,[382]
130,UA_1045_2025-12-03_ORD_LGA_0_0,212,ORD,LGA,1764795600,1764803220,129.0,131.0,3060,126,2721600,"[593, 647, 724, 702, 764, 110, 440, 489, 286, 284, 211]"
131,UA_1234_2025-12-03_LGA_ORD_0_0,212,LGA,ORD,1764807300,1764817020,130.0,132.0,3060,130,2808000,"[594, 725, 237, 212]"
132,MX_212_2025-12-03_ORD_ORD_false,212,ORD,ORD,1764817020,1764838620,131.0,133.0,5100,0,7500000,
133,UA_451_2025-12-04_ORD_CMH_0_0,212,ORD,CMH,1764853800,1764858600,132.0,134.0,3060,58,1252800,"[742, 728, 400, 431, 325, 288, 214]"
134,UA_752_2025-12-04_CMH_ORD_0_0,212,CMH,ORD,1764864000,1764869220,133.0,135.0,3060,122,2635200,[22]
135,UA_1054_2025-12-04_ORD_YVR_0_0,212,ORD,YVR,1764875400,1764892200,134.0,136.0,3900,81,1749600,"[704, 100, 402, 112, 204, 444, 433, 491, 290]"
136,UA_1083_2025-12-04_YVR_SFO_0_0,212,YVR,SFO,1764904500,1764913200,135.0,137.0,3480,130,2808000,
137,MX_212_2025-12-04_SFO_SFO_false,212,SFO,SFO,1764913200,1764934800,136.0,,5100,0,7500000,
138,MX_213_2025-12-03_WHQ_WHQ_false,213,WHQ,WHQ,1764806400,1764813600,,,5100,0,7500000,
139,UA_2662_2025-12-02_PBI_IAH_0_0,214,PBI,IAH,1764684000,1764694440,,140.0,3060,151,3261600,
140,UA_2675_2025-12-02_IAH_PIT_0_0,214,IAH,PIT,1764698760,1764708480,139.0,141.0,3060,143,3088800,"[574, 563, 678, 453, 668, 392, 105, 417, 435, 379, 245, 183, 166]"
141,UA_1563_2025-12-02_PIT_IAH_0_0,214,PIT,IAH,1764712200,1764724080,140.0,142.0,3060,148,3196800,
142,UA_2069_2025-12-02_IAH_CVG_0_0,214,IAH,CVG,1764728340,1764737040,141.0,143.0,3060,90,1944000,"[709, 601, 670, 394, 333, 233, 437, 185]"
143,UA_2442_2025-12-03_CVG_IAH_0_0,214,CVG,IAH,1764761400,1764771660,142.0,144.0,3060,88,1900800,
144,UA_2311_2025-12-03_IAH_DCA_0_0,214,IAH,DCA,1764777060,1764787920,143.0,145.0,4080,97,2095200,"[711, 555, 604, 456, 672, 396, 336, 236, 116, 420, 175, 322, 247, 187]"
145,UA_1726_2025-12-03_DCA_IAH_0_0,214,DCA,IAH,1764791640,1764804300,144.0,146.0,3060,110,2376000,"[457, 323]"
146,UA_2339_2025-12-03_IAH_LAS_0_0,214,IAH,LAS,1764808200,1764820800,145.0,147.0,3060,104,2246400,"[842, 580, 661, 713, 557, 606, 458, 674, 373, 35, 51, 338, 118, 177, 189]"
147,MX_214_2025-12-03_LAS_LAS_false,214,LAS,LAS,1764820800,1764838800,146.0,148.0,5100,0,7500000,
148,UA_2410_2025-12-04_LAS_IAH_0_0,214,LAS,IAH,1764856800,1764867780,147.0,149.0,3060,111,2397600,[543]
149,UA_1770_2025-12-04_IAH_BNA_0_0,214,IAH,BNA,1764882000,1764889020,148.0,150.0,3060,122,2635200,"[894, 625, 715, 561, 649, 609, 461, 375, 53, 241, 424, 181, 216]"
150,UA_1009_2025-12-04_BNA_IAH_0_0,214,BNA,IAH,1764893400,1764902100,149.0,151.0,3060,98,2116800,
151,MX_214_2025-12-04_IAH_IAH_false,214,IAH,IAH,1764902100,1764938100,150.0,,5100,0,7500000,
152,UA_2676_2025-12-02_RNO_DEN_0_0,215,RNO,DEN,1764681900,1764690420,,153.0,3060,134,2894400,
153,UA_2255_2025-12-02_DEN_IND_0_0,215,DEN,IND,1764694500,1764703560,152.0,154.0,3060,164,3542400,"[886, 837, 781, 823, 613, 734, 550, 496, 628, 535, 521, 507, 69, 90, 79, 2, 124, 15, 427, 293, 317, 57]"
154,UA_2247_2025-12-02_IND_DEN_0_0,215,IND,DEN,1764707700,1764718440,153.0,155.0,3060,148,3196800,[669]
155,UA_1422_2025-12-02_DEN_STL_0_0,215,DEN,STL,1764723180,1764730620,154.0,156.0,3060,139,3002400,"[888, 783, 825, 860, 736, 498, 687, 630, 523, 509, 680, 71, 93, 81, 4, 17, 295, 407, 381, 59]"
156,UA_1396_2025-12-03_STL_DEN_0_0,215,STL,DEN,1764774000,1764782940,155.0,157.0,3060,151,3261600,
157,UA_535_2025-12-03_DEN_SJC_0_0,215,DEN,SJC,1764787800,1764797520,156.0,158.0,3060,143,3088800,"[890, 785, 827, 862, 851, 775, 500, 690, 633, 525, 512, 683, 95, 84, 7, 19, 297, 350, 409, 383, 61]"
158,UA_1325_2025-12-03_SJC_DEN_0_0,215,SJC,DEN,1764806400,1764815700,157.0,159.0,3060,111,2397600,
159,UA_1236_2025-12-03_DEN_PHX_0_0,215,DEN,PHX,1764820200,1764827460,158.0,160.0,3060,122,2635200,"[787, 829, 864, 853, 692, 635, 527, 766, 398, 21, 299, 411]"
160,MX_215_2025-12-03_PHX_PHX_false,215,PHX,PHX,1764827460,1764849060,159.0,161.0,5100,0,7500000,
161,UA_597_2025-12-04_PHX_DEN_0_0,215,PHX,DEN,1764868200,1764874920,160.0,162.0,3060,106,2289600,[65]
162,UA_2265_2025-12-04_DEN_DSM_0_0,215,DEN,DSM,1764880200,1764886320,161.0,163.0,3060,103,2224800,"[637, 529, 517, 75, 770, 819, 11, 122, 120, 23, 303, 354, 413, 277, 66]"
163,UA_1781_2025-12-04_DSM_DEN_0_0,215,DSM,DEN,1764890100,1764897600,162.0,164.0,3060,135,2916000,
