fid,fid_raw,tail,dep,arr,deptime,arrtime,prev_fid,next_fid,turn,delay_penalty,cancel_penalty,alternates
27,MX_4872_2025-09-21_ORD_ORD_false,4872,ORD,ORD,1758509880,1758538680,26,,5100,0,7500000,
28,UA_1697_2025-09-19_EUG_SFO_0_0,4873,EUG,SFO,1758286800,1758292560,,29,2580,68,1468800,
29,UA_499_2025-09-19_SFO_BNA_0_0,4873,SFO,BNA,1758297600,1758313740,28,30,2580,116,2505600,"[209, 143, 77, 53]"
30,UA_2142_2025-09-19_BNA_SFO_0_0,4873,BNA,SFO,1758318900,1758336180,29,31,2580,125,2700000,[182]
31,UA_653_2025-09-19_SFO_PDX_0_0,4873,SFO,PDX,1758340200,1758346620,30,32,2580,119,2570400,"[291, 211, 55]"
32,UA_1660_2025-09-20_PDX_SFO_0_0,4873,PDX,SFO,1758379500,1758386280,31,33,2580,108,2332800,
33,UA_1517_2025-09-20_SFO_DFW_0_0,4873,SFO,DFW,1758390000,1758403320,32,34,2580,108,2332800,"[293, 213, 147, 57]"
34,UA_1609_2025-09-20_DFW_IAH_0_0,4873,DFW,IAH,1758407100,1758411780,33,35,2580,33,712800,[172]
35,UA_465_2025-09-20_IAH_IND_0_0,4873,IAH,IND,1758416580,1758425280,34,36,3060,81,1749600,"[203, 110, 98, 173]"
36,UA_2227_2025-09-21_IND_IAH_0_0,4873,IND,IAH,1758452400,1758461580,35,37,2580,125,2700000,
37,UA_1060_2025-09-21_IAH_MEX_0_0,4873,IAH,MEX,1758464820,1758473100,36,38,3120,120,2592000,"[205, 112, 9, 175]"
38,UA_1091_2025-09-21_MEX_IAH_0_0,4873,MEX,IAH,1758476100,1758484320,37,39,2880,118,2548800,
39,UA_1028_2025-09-21_IAH_MEX_0_0,4873,IAH,MEX,1758489780,1758498600,38,40,3480,61,1317600,"[207, 114, 102, 11]"
40,MX_4873_2025-09-21_MEX_MEX_false,4873,MEX,MEX,1758498600,1758534600,39,,5100,0,7500000,
41,UA_2471_2025-09-19_ORD_JAX_0_0,4874,ORD,JAX,1758283200,1758291900,,42,2580,111,2397600,[130]
42,UA_1239_2025-09-19_JAX_ORD_0_0,4874,JAX,ORD,1758295800,1758305700,41,43,2580,124,2678400,
43,UA_2329_2025-09-19_ORD_DTW_0_0,4874,ORD,DTW,1758309600,1758314760,42,44,2580,118,2548800,"[304, 276, 132]"
44,UA_426_2025-09-19_DTW_ORD_0_0,4874,DTW,ORD,1758318840,1758324060,43,45,2580,116,2505600,
45,UA_1991_2025-09-19_ORD_ABQ_0_0,4874,ORD,ABQ,1758328680,1758340440,44,46,2580,107,2311200,"[278, 134]"
46,MX_4874_2025-09-19_ABQ_ABQ_false,4874,ABQ,ABQ,1758340440,1758369240,45,47,5100,0,7500000,
47,UA_1596_2025-09-20_ABQ_ORD_0_0,4874,ABQ,ORD,1758378000,1758388740,46,48,2580,123,2656800,
48,UA_1307_2025-09-20_ORD_MDT_0_0,4874,ORD,MDT,1758394500,1758401640,47,49,2580,124,2678400,"[307, 137, 21]"
49,UA_2684_2025-09-21_MDT_ORD_0_0,4874,MDT,ORD,1758451500,1758459180,48,50,2580,121,2613600,
50,UA_2455_2025-09-21_ORD_SAV_0_0,4874,ORD,SAV,1758462900,1758471540,49,51,2580,78,1684800,"[310, 285, 272, 127, 23]"
51,UA_754_2025-09-21_SAV_ORD_0_0,4874,SAV,ORD,1758474900,1758483900,50,52,2580,126,2721600,
52,UA_1558_2025-09-21_ORD_CHS_0_0,4874,ORD,CHS,1758487800,1758496080,51,,2580,123,2656800,"[312, 139, 25]"
53,UA_1531_2025-09-19_SFO_MSP_0_0,4875,SFO,MSP,1758295800,1758309420,,54,2580,120,2592000,"[209, 143, 77, 29]"
54,UA_1214_2025-09-19_MSP_SFO_0_0,4875,MSP,SFO,1758313200,1758328020,53,55,2580,116,2505600,[303]
55,UA_210_2025-09-19_SFO_ONT_0_0,4875,SFO,ONT,1758334200,1758339180,54,56,2580,118,2548800,"[291, 211, 31]"
56,UA_2647_2025-09-20_ONT_SFO_0_0,4875,ONT,SFO,1758373200,1758377940,55,57,2580,119,2570400,
57,UA_1417_2025-09-20_SFO_SEA_0_0,4875,SFO,SEA,1758387000,1758395220,56,58,2580,120,2592000,"[293, 213, 147, 33]"
58,UA_1620_2025-09-20_SEA_SFO_0_0,4875,SEA,SFO,1758398700,1758406800,57,59,2580,116,2505600,
59,UA_2339_2025-09-20_SFO_SEA_0_0,4875,SFO,SEA,1758411300,1758419340,58,60,2580,71,1533600,[295]
60,MX_4875_2025-09-20_SEA_SEA_false,4875,SEA,SEA,1758419340,1758448140,59,61,5100,0,7500000,
61,UA_2640_2025-09-21_SEA_SFO_0_0,4875,SEA,SFO,1758463200,1758471540,60,62,2580,118,2548800,
62,UA_1957_2025-09-21_SFO_ABQ_0_0,4875,SFO,ABQ,1758480840,1758489780,61,63,2580,122,2635200,"[298, 217, 150]"
63,UA_1016_2025-09-21_ABQ_SFO_0_0,4875,ABQ,SFO,1758493140,1758502200,62,,2580,122,2635200,[128]
64,UA_2172_2025-09-19_CMH_SFO_0_0,4876,CMH,SFO,1758286800,1758305040,,65,2940,92,1987200,
65,UA_255_2025-09-19_SFO_AUS_0_0,4876,SFO,AUS,1758312000,1758325020,64,66,2580,120,2592000,"[289, 145, 77]"
66,UA_789_2025-09-19_AUS_IAH_0_0,4876,AUS,IAH,1758329100,1758332880,65,67,2580,41,885600,"[266, 252]"
67,UA_1475_2025-09-19_IAH_SAT_0_0,4876,IAH,SAT,1758336300,1758340080,66,68,2580,82,1771200,"[198, 94]"
68,UA_469_2025-09-20_SAT_IAH_0_0,4876,SAT,IAH,1758364200,1758368040,67,69,2580,104,2246400,
69,UA_1934_2025-09-20_IAH_CLE_0_0,4876,IAH,CLE,1758371700,1758382020,68,70,2580,104,2246400,[201]
70,UA_1004_2025-09-20_CLE_EWR_0_0,4876,CLE,EWR,1758385440,1758391200,69,71,2580,123,2656800,
71,UA_2856_2025-09-20_EWR_DFW_0_0,4876,EWR,DFW,1758411360,1758425280,70,72,2580,79,1706400,[188]
72,UA_1847_2025-09-21_DFW_EWR_0_0,4876,DFW,EWR,1758456000,1758468540,71,73,2580,118,2548800,
73,UA_598_2025-09-21_EWR_SAV_0_0,4876,EWR,SAV,1758474000,1758482340,72,74,2580,122,2635200,
74,UA_1330_2025-09-21_SAV_EWR_0_0,4876,SAV,EWR,1758486360,1758494160,73,75,2580,126,2721600,
75,UA_2856_2025-09-21_EWR_DFW_0_0,4876,EWR,DFW,1758497760,1758511680,74,,2580,123,2656800,"[287, 141]"
76,UA_1449_2025-09-19_YVR_SFO_0_0,4878,YVR,SFO,1758290400,1758299160,,77,2880,61,1317600,
77,UA_2448_2025-09-19_SFO_JAC_0_0,4878,SFO,JAC,1758303840,1758311460,76,78,3060,120,2592000,"[289, 209, 145, 65, 53, 29]"
78,UA_2671_2025-09-19_JAC_DEN_0_0,4878,JAC,DEN,1758315000,1758320760,77,79,2580,92,1987200,
79,UA_1094_2025-09-19_DEN_YYZ_0_0,4878,DEN,YYZ,1758325020,1758336480,78,80,3120,115,2484000,"[251, 239, 224, 156, 120]"
80,UA_490_2025-09-20_YYZ_ORD_0_0,4878,YYZ,ORD,1758366000,1758373140,79,81,2880,92,1987200,
81,UA_2164_2025-09-20_ORD_ABQ_0_0,4878,ORD,ABQ,1758378000,1758389640,80,82,3060,110,2376000,"[281, 123]"
82,UA_1968_2025-09-20_ABQ_IAD_0_0,4878,ABQ,IAD,1758401880,1758415320,81,83,2580,101,2181600,
83,MX_4878_2025-09-20_IAD_IAD_false,4878,IAD,IAD,1758415320,1758436920,82,84,5100,0,7500000,
84,UA_1257_2025-09-21_IAD_BDL_0_0,4878,IAD,BDL,1758456900,1758461760,83,85,2580,120,2592000,[100]
85,UA_1786_2025-09-21_BDL_IAD_0_0,4878,BDL,IAD,1758465120,1758470100,84,86,2580,123,2656800,
86,UA_1357_2025-09-21_IAD_RDU_0_0,4878,IAD,RDU,1758474000,1758478200,85,87,2580,121,2613600,
87,UA_2463_2025-09-21_RDU_IAD_0_0,4878,RDU,IAD,1758481800,1758485880,86,88,2580,122,2635200,[286]
88,UA_2116_2025-09-21_IAD_DFW_0_0,4878,IAD,DFW,1758489600,1758501360,87,89,2580,123,2656800,
89,UA_1961_2025-09-21_DFW_DEN_0_0,4878,DFW,DEN,1758505200,1758513300,88,90,2580,41,885600,"[261, 26]"
90,MX_4878_2025-09-21_DEN_DEN_false,4878,DEN,DEN,1758513300,1758534900,89,,5100,0,7500000,
91,UA_2004_2025-09-19_YEG_IAH_0_0,4879,YEG,IAH,1758290700,1758306660,,92,2880,116,2505600,
92,UA_1388_2025-09-19_IAH_DFW_0_0,4879,IAH,DFW,1758310500,1758315480,91,93,2580,83,1792800,"[265, 105, 4]"
93,UA_1609_2025-09-19_DFW_IAH_0_0,4879,DFW,IAH,1758320700,1758325380,92,94,2580,86,1857600,
94,UA_1314_2025-09-19_IAH_MAF_0_0,4879,IAH,MAF,1758330900,1758336900,93,95,2580,36,777600,"[198, 67]"
95,UA_537_2025-09-20_MAF_IAH_0_0,4879,MAF,IAH,1758369600,1758375060,94,96,2580,57,1231200,
96,UA_2045_2025-09-20_IAH_IAD_0_0,4879,IAH,IAD,1758383700,1758394980,95,97,2580,90,1944000,"[201, 108, 7]"
97,UA_1490_2025-09-20_IAD_IAH_0_0,4879,IAD,IAH,1758399000,1758410880,96,98,2580,112,2419200,
98,UA_2352_2025-09-20_IAH_IAD_0_0,4879,IAH,IAD,1758415800,1758426960,97,99,2580,103,2224800,"[203, 110, 35, 173]"
99,MX_4879_2025-09-20_IAD_IAD_false,4879,IAD,IAD,1758426960,1758448560,98,100,5100,0,7500000,
100,UA_1734_2025-09-21_IAD_BZN_0_0,4879,IAD,BZN,1758457800,1758473400,99,101,2580,93,2008800,[84]
101,UA_1086_2025-09-21_BZN_IAH_0_0,4879,BZN,IAH,1758478800,1758491040,100,102,2580,110,2376000,
102,UA_313_2025-09-21_IAH_YYZ_0_0,4879,IAH,YYZ,1758496560,1758508560,101,,3120,125,2700000,"[207, 114, 39, 13]"
103,UA_1060_2025-09-19_IAH_MEX_0_0,4880,IAH,MEX,1758292020,1758300300,,104,3120,125,2700000,"[263, 196, 15, 2]"
104,UA_1091_2025-09-19_MEX_IAH_0_0,4880,MEX,IAH,1758303300,1758311520,103,105,3180,75,1620000,
105,UA_2472_2025-09-19_IAH_DCA_0_0,4880,IAH,DCA,1758318300,1758329580,104,106,3780,63,1360800,"[265, 92, 4]"
106,MX_4880_2025-09-19_DCA_DCA_false,4880,DCA,DCA,1758329580,1758351180,105,107,5100,0,7500000,
107,UA_697_2025-09-20_DCA_IAH_0_0,4880,DCA,IAH,1758370800,1758383040,106,108,2760,88,1900800,
108,UA_1823_2025-09-20_IAH_SLC_0_0,4880,IAH,SLC,1758389400,1758400920,107,109,2580,94,2030400,"[201, 96, 7]"
109,UA_2198_2025-09-20_SLC_IAH_0_0,4880,SLC,IAH,1758406200,1758417240,108,110,2760,65,1404000,[202]
110,UA_429_2025-09-20_IAH_MEX_0_0,4880,IAH,MEX,1758422760,1758431400,109,111,3600,95,2052000,"[98, 35]"
111,UA_1085_2025-09-21_MEX_IAH_0_0,4880,MEX,IAH,1758451200,1758459360,110,112,2880,91,1965600,
112,UA_2118_2025-09-21_IAH_BJX_0_0,4880,IAH,BJX,1758465300,1758473340,111,113,3780,53,1144800,"[205, 37, 9, 177, 175]"
113,UA_1072_2025-09-21_BJX_IAH_0_0,4880,BJX,IAH,1758476700,1758483840,112,114,2880,127,2743200,
114,UA_1711_2025-09-21_IAH_AUS_0_0,4880,IAH,AUS,1758489600,1758493380,113,115,3780,122,2635200,"[207, 102, 39, 11]"
115,UA_345_2025-09-21_AUS_DEN_0_0,4880,AUS,DEN,1758496740,1758505200,114,116,2580,127,2743200,[218]
116,MX_4880_2025-09-21_DEN_DEN_false,4880,DEN,DEN,1758505200,1758526800,115,,5100,0,7500000,
117,UA_1442_2025-09-19_OMA_DEN_0_0,4881,OMA,DEN,1758279600,1758285540,,118,2580,119,2570400,
118,UA_397_2025-09-19_DEN_SJC_0_0,4881,DEN,SJC,1758291300,1758300660,117,119,2580,80,1728000,"[237, 222, 166]"
119,UA_431_2025-09-19_SJC_DEN_0_0,4881,SJC,DEN,1758310200,1758319560,118,120,2580,125,2700000,
120,UA_616_2025-09-19_DEN_CLT_0_0,4881,DEN,CLT,1758324900,1758336780,119,121,2580,115,2484000,"[251, 239, 224, 156, 79]"
121,MX_4881_2025-09-19_CLT_CLT_false,4881,CLT,CLT,1758326400,1758355200,120,122,5100,0,7500000,
122,UA_2672_2025-09-20_CLT_ORD_0_0,4881,CLT,ORD,1758364800,1758373200,121,123,2580,79,1706400,
123,UA_764_2025-09-20_ORD_YYC_0_0,4881,ORD,YYC,1758376080,1758389880,122,124,3120,123,2656800,"[281, 81]"
124,UA_1655_2025-09-20_YYC_ORD_0_0,4881,YYC,ORD,1758393480,1758406200,123,125,2880,112,2419200,
125,UA_1504_2025-09-20_ORD_CVG_0_0,4881,ORD,CVG,1758410400,1758415860,124,126,3060,83,1792800,[283]
126,UA_2287_2025-09-21_CVG_ORD_0_0,4881,CVG,ORD,1758452400,1758458040,125,127,2580,126,2721600,
127,UA_2164_2025-09-21_ORD_ABQ_0_0,4881,ORD,ABQ,1758464400,1758476040,126,128,2580,107,2311200,"[310, 285, 272, 50, 23]"
128,UA_1968_2025-09-21_ABQ_IAD_0_0,4881,ABQ,IAD,1758488280,1758501720,127,129,2580,122,2635200,[63]
129,MX_4881_2025-09-21_IAD_IAD_false,4881,IAD,IAD,1758501720,1758505320,128,,5100,0,7500000,
130,UA_1139_2025-09-19_ORD_DSM_0_0,4882,ORD,DSM,1758291120,1758296340,,131,2580,105,2268000,"[302, 276, 41]"
131,UA_2306_2025-09-19_DSM_ORD_0_0,4882,DSM,ORD,1758299700,1758305340,130,132,2580,101,2181600,
132,UA_1941_2025-09-19_ORD_CVG_0_0,4882,ORD,CVG,1758309900,1758315000,131,133,2580,112,2419200,"[304, 43]"
133,UA_1813_2025-09-19_CVG_ORD_0_0,4882,CVG,ORD,1758319920,1758325800,132,134,2580,122,2635200,
134,UA_661_2025-09-19_ORD_DSM_0_0,4882,ORD,DSM,1758330900,1758336300,133,135,2580,116,2505600,"[278, 45]"
135,MX_4882_2025-09-19_DSM_DSM_false,4882,DSM,DSM,1758336300,1758339900,134,136,5100,0,7500000,
136,UA_1363_2025-09-20_DSM_ORD_0_0,4882,DSM,ORD,1758373200,1758378840,135,137,2580,73,1576800,[200]
137,UA_1478_2025-09-20_ORD_YEG_0_0,4882,ORD,YEG,1758392820,1758407100,136,138,3120,115,2484000,"[307, 48, 21]"
138,UA_2004_2025-09-21_YEG_ORD_0_0,4882,YEG,ORD,1758463500,1758475920,137,139,2880,124,2678400,
139,UA_2635_2025-09-21_ORD_CLT_0_0,4882,ORD,CLT,1758480900,1758488700,138,140,2580,115,2484000,"[312, 285, 272, 52, 25, 23]"
140,UA_702_2025-09-21_CLT_EWR_0_0,4882,CLT,EWR,1758493800,1758501000,139,141,2580,125,2700000,[193]
141,UA_2127_2025-09-21_EWR_CLT_0_0,4882,EWR,CLT,1758504420,1758512040,140,142,2580,88,1900800,"[287, 75]"
142,MX_4882_2025-09-21_CLT_CLT_false,4882,CLT,CLT,1758512040,1758533640,141,,5100,0,7500000,
143,UA_1027_2025-09-19_SFO_PDX_0_0,4883,SFO,PDX,1758290700,1758297060,,144,2580,129,2786400,"[209, 53, 29]"
144,UA_1998_2025-09-19_PDX_SFO_0_0,4883,PDX,SFO,1758300420,1758307200,143,145,2580,124,2678400,
145,UA_1668_2025-09-19_SFO_PDX_0_0,4883,SFO,PDX,1758311700,1758318120,144,146,2580,126,2721600,"[289, 77, 65]"
146,UA_644_2025-09-19_PDX_SFO_0_0,4883,PDX,SFO,1758321840,1758328500,145,147,2580,98,2116800,
147,UA_499_2025-09-20_SFO_BNA_0_0,4883,SFO,BNA,1758384000,1758400140,146,148,2580,106,2289600,"[293, 213, 57, 33]"
148,MX_4883_2025-09-20_BNA_BNA_false,4883,BNA,BNA,1758400140,1758421740,147,149,5100,0,7500000,
149,UA_611_2025-09-21_BNA_SFO_0_0,4883,BNA,SFO,1758455100,1758472380,148,150,2580,125,2700000,[231]
150,UA_2448_2025-09-21_SFO_JAC_0_0,4883,SFO,JAC,1758476640,1758484260,149,151,2580,107,2311200,"[298, 217, 62]"
151,UA_2671_2025-09-21_JAC_DEN_0_0,4883,JAC,DEN,1758487800,1758493560,150,152,2580,114,2462400,
152,UA_1726_2025-09-21_DEN_DAY_0_0,4883,DEN,DAY,1758497400,1758507120,151,,2580,126,2721600,"[260, 246, 164]"
153,UA_1597_2025-09-19_DAY_DEN_0_0,4884,DAY,DEN,1758288420,1758299700,,154,2580,114,2462400,
154,UA_221_2025-09-19_DEN_ELP_0_0,4884,DEN,ELP,1758303900,1758310440,153,155,2580,121,2613600,"[249, 237]"
155,UA_1894_2025-09-19_ELP_DEN_0_0,4884,ELP,DEN,1758314100,1758321000,154,156,2580,121,2613600,
156,UA_1726_2025-09-19_DEN_DAY_0_0,4884,DEN,DAY,1758324600,1758334320,155,157,2580,116,2505600,"[251, 239, 224, 120, 79]"
157,UA_1597_2025-09-20_DAY_DEN_0_0,4884,DAY,DEN,1758374820,1758386100,156,158,2580,104,2246400,
158,UA_1183_2025-09-20_DEN_GTF_0_0,4884,DEN,GTF,1758390120,1758397020,157,159,2580,116,2505600,"[268, 254, 241]"
159,UA_1965_2025-09-20_GTF_DEN_0_0,4884,GTF,DEN,1758400500,1758407580,158,160,2580,116,2505600,
160,UA_1351_2025-09-20_DEN_FAR_0_0,4884,DEN,FAR,1758411600,1758418260,159,161,2580,121,2613600,"[270, 256, 229]"
161,UA_2001_2025-09-21_FAR_DEN_0_0,4884,FAR,DEN,1758463200,1758470520,160,162,2580,110,2376000,
162,UA_2111_2025-09-21_DEN_MEM_0_0,4884,DEN,MEM,1758474120,1758482280,161,163,2580,110,2376000,"[258, 244, 232]"
163,UA_1906_2025-09-21_MEM_DEN_0_0,4884,MEM,DEN,1758486000,1758495240,162,164,2580,127,2743200,
164,UA_1300_2025-09-21_DEN_BNA_0_0,4884,DEN,BNA,1758498900,1758508500,163,165,2580,123,2656800,"[260, 246, 152]"
165,MX_4884_2025-09-21_BNA_BNA_false,4884,BNA,BNA,1758508500,1758530100,164,,5100,0,7500000,
166,UA_275_2025-09-19_DEN_DFW_0_0,4888,DEN,DFW,1758289560,1758297000,,167,2580,105,2268000,"[237, 222, 118]"
167,UA_358_2025-09-19_DFW_IAD_0_0,4888,DFW,IAD,1758301800,1758312720,166,168,2580,122,2635200,
168,UA_2081_2025-09-19_IAD_ATL_0_0,4888,IAD,ATL,1758318300,1758325080,167,169,2580,116,2505600,
169,MX_4888_2025-09-19_ATL_ATL_false,4888,ATL,ATL,1758325080,1758353880,168,170,5100,0,7500000,
170,UA_632_2025-09-20_ATL_IAD_0_0,4888,ATL,IAD,1758375300,1758381840,169,171,2580,97,2095200,
171,UA_1840_2025-09-20_IAD_DFW_0_0,4888,IAD,DFW,1758386880,1758398640,170,172,2580,96,2073600,
172,UA_2682_2025-09-20_DFW_IAH_0_0,4888,DFW,IAH,1758402000,1758406440,171,173,2580,58,1252800,[34]
173,UA_1533_2025-09-20_IAH_AUS_0_0,4888,IAH,AUS,1758411180,1758414960,172,174,2580,88,1900800,"[203, 98, 35]"
174,UA_220_2025-09-21_AUS_IAH_0_0,4888,AUS,IAH,1758450600,1758454020,173,175,2580,122,2635200,[22]
175,UA_794_2025-09-21_IAH_MAF_0_0,4888,IAH,MAF,1758457200,1758462600,174,176,2580,21,453600,"[205, 112, 37, 9]"
176,UA_1737_2025-09-21_MAF_IAH_0_0,4888,MAF,IAH,1758465960,1758471300,175,177,2580,46,993600,
177,UA_1823_2025-09-21_IAH_SLC_0_0,4888,IAH,SLC,1758475800,1758487320,176,178,2580,118,2548800,"[205, 112, 11, 9]"
178,UA_2198_2025-09-21_SLC_IAH_0_0,4888,SLC,IAH,1758492600,1758503640,177,179,2580,125,2700000,[206]
179,UA_429_2025-09-21_IAH_MEX_0_0,4888,IAH,MEX,1758509160,1758517800,178,,3120,97,2095200,"[219, 13]"
180,UA_1760_2025-09-19_AUS_EWR_0_0,4889,AUS,EWR,1758280080,1758293940,,181,2580,122,2635200,[1]
181,UA_1360_2025-09-19_EWR_BNA_0_0,4889,EWR,BNA,1758297540,1758306120,180,182,2580,125,2700000,
182,UA_264_2025-09-19_BNA_EWR_0_0,4889,BNA,EWR,1758310020,1758318300,181,183,2580,121,2613600,[30]
183,UA_2856_2025-09-19_EWR_DFW_0_0,4889,EWR,DFW,1758324960,1758338880,182,184,2580,105,2268000,
184,MX_4889_2025-09-19_DFW_DFW_false,4889,DFW,DFW,1758338880,1758342480,183,185,5100,0,7500000,
185,UA_1847_2025-09-20_DFW_EWR_0_0,4889,DFW,EWR,1758369600,1758382140,184,186,2580,105,2268000,
186,UA_598_2025-09-20_EWR_SAV_0_0,4889,EWR,SAV,1758387600,1758395940,185,187,2580,122,2635200,
187,UA_2074_2025-09-20_SAV_EWR_0_0,4889,SAV,EWR,1758403200,1758411000,186,188,2580,92,1987200,
188,UA_1395_2025-09-20_EWR_BOS_0_0,4889,EWR,BOS,1758419940,1758424920,187,189,2580,111,2397600,[71]
189,UA_1833_2025-09-21_BOS_EWR_0_0,4889,BOS,EWR,1758448800,1758453780,188,190,2580,48,1036800,
190,UA_1833_2025-09-21_EWR_ATL_0_0,4889,EWR,ATL,1758459600,1758468480,189,191,2580,123,2656800,
191,UA_1915_2025-09-21_ATL_EWR_0_0,4889,ATL,EWR,1758471840,1758480000,190,192,2580,122,2635200,
192,UA_1004_2025-09-21_EWR_CLT_0_0,4889,EWR,CLT,1758486540,1758493800,191,193,2580,124,2678400,[287]
193,UA_2094_2025-09-21_CLT_EWR_0_0,4889,CLT,EWR,1758499260,1758506400,192,194,2580,129,2786400,[140]
194,MX_4889_2025-09-21_EWR_EWR_false,4889,EWR,EWR,1758506400,1758528000,193,,5100,0,7500000,
195,UA_537_2025-09-19_MAF_IAH_0_0,4890,MAF,IAH,1758283200,1758288660,,196,2580,101,2181600,
196,UA_1688_2025-09-19_IAH_YYZ_0_0,4890,IAH,YYZ,1758294900,1758306600,195,197,3120,122,2635200,"[263, 103, 15, 2]"
197,UA_2236_2025-09-19_YYZ_IAH_0_0,4890,YYZ,IAH,1758311940,1758324780,196,198,2880,90,1944000,
198,UA_1780_2025-09-19_IAH_DSM_0_0,4890,IAH,DSM,1758330240,1758338880,197,199,3060,88,1900800,"[94, 67]"
199,MX_4890_2025-09-19_DSM_DSM_false,4890,DSM,DSM,1758338880,1758360480,198,200,5100,0,7500000,
200,UA_1982_2025-09-20_DSM_IAH_0_0,4890,DSM,IAH,1758366900,1758375720,199,201,2580,95,2052000,[136]
201,UA_2242_2025-09-20_IAH_SLC_0_0,4890,IAH,SLC,1758380160,1758391800,200,202,2580,91,1965600,"[108, 96, 69, 7]"
202,UA_2659_2025-09-20_SLC_IAH_0_0,4890,SLC,IAH,1758395400,1758406440,201,203,2580,110,2376000,[109]
203,UA_313_2025-09-20_IAH_YYZ_0_0,4890,IAH,YYZ,1758410160,1758422160,202,204,3120,88,1900800,"[98, 35, 173]"
204,UA_1345_2025-09-21_YYZ_IAH_0_0,4890,YYZ,IAH,1758449400,1758462480,203,205,2880,100,2160000,
205,UA_2242_2025-09-21_IAH_SLC_0_0,4890,IAH,SLC,1758466560,1758478200,204,206,3060,114,2462400,"[112, 37, 9, 177, 175]"
206,UA_2659_2025-09-21_SLC_IAH_0_0,4890,SLC,IAH,1758481800,1758492840,205,207,2580,121,2613600,[178]
207,UA_2119_2025-09-21_IAH_SEA_0_0,4890,IAH,SEA,1758497400,1758514680,206,,2580,120,2592000,"[114, 102, 39, 13]"
208,UA_2647_2025-09-19_ONT_SFO_0_0,4891,ONT,SFO,1758286800,1758291540,,209,2580,124,2678400,
